Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ОСБ АВГУСТ""",Признаки нелегального кредитора,7814655224,"197183, г. Санкт-Петербург, ул. Савушкина, д. 1/2, лит. А, пом. 2Н",osbtranshe.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""РУБЛЬ-ЭКСПРЕСС""",Признаки нелегального кредитора,7839094355,"190020, г. Санкт-Петербург, наб. Обводного канала, д. 211-213, лит. А, пом. 1Н, оф. 302",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ БУКИНГЕМ ГРУПП""",Признаки нелегального кредитора,5040153034,"140186, Московская обл., г. Жуковский, ул. Молодежная, д. 21, эт. 1, пом. 167, комн. 2",bukingem-group.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ПРК РУСИНВЕСТ""",Признаки нелегального кредитора,2540251838,"690091, Приморский край, г. Владивосток, ул. Пологая, д. 53, офис 501",,01.02.2021
Дальневосточный финансовый центр,Признаки нелегального кредитора,,"680000, Хабаровский края, г. Хабаровск, ул. Дзержинского, д. 65, офис 404",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАЛЬНЕВОСТОЧНЫЙ КРЕДИТНЫЙ БРОКЕР"" (ДКБ)",Признаки нелегального кредитора,2801181923,"675000, Амурская обл., г. Благовещенск, ул. Студенческая, дом З6 А, офис 31",народденьги.рф,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОМАКС""",Признаки нелегального кредитора,2536263333,"690002, Приморский край, г. Владивосток, пр-т Океанский, д. 76, офис 45",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ДАЁМ ЗАЁМ""",Признаки нелегального кредитора,1434042661,"678960, Республики Саха (Якутия) г. Нерюнгри, ул. Новостроевская, д. 5, кв. 6",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""САЙДА""",Признаки нелегального кредитора,1407008566,"678230, Республика Саха (Якутия), Верхневилюйский улус, с. Андреевский, ул. Солнечная, д. 25",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""САХА ЭКСПРЕСС ЗАЙМ""",Признаки нелегального кредитора,1424009640,"678290, Республика Саха (Якутия), Сунтарский улус, с. Сунтар, ул. Петра Иванова, д. 10 корп. Б",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АЛЛОНЖ""",Признаки нелегального кредитора,2722105486,"680038, Хабаровский край, г. Хабаровск, ул. Яшина д. 40, пом. 1, офис 11.",kredit-khv.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""КРАСНЫЙ ГИГАНТ""",Признаки нелегального кредитора,2801251200,"675000, Амурская обл., г. Благовещенск, ул. Чайковского, д. 49 кв. 23",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""БАКУГАН""",Признаки нелегального кредитора,6501303600,"693000, Сахалинская обл., г. Южно-Сахалинск, ул. Имени Ф.Э. Дзержинского, д. 22, кв. 77",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""КРЕДИТ-САХА КАПИТАЛ""",Признаки нелегального кредитора,1424009400,"678290, Республика Саха (Якутия), Сунтарский улус, с. Сунтар, ул. Семена Сергеева, д. 17",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ИСТОЧНИК ДЕНЕГ""",Признаки нелегального кредитора,6673165688,"620027, Свердловская обл., г. Екатеринбург, ул. Короленко, д. 6, оф. 54",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""КОШЕЛЕК""",Признаки нелегального кредитора,6619025523,"623090, Свердловская обл., г. Нижние Серьги, ул. Дружбы, д. 4",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""СТИМУЛ"" ",Признаки нелегального кредитора,5904374721,"614002, Пермский край, г. Пермь, ул. Чернышевского, д. 13, оф.1",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МФО ""ДЕНЬГИ ВСЕМ""",Признаки нелегального кредитора,6678016930,"620050, Свердловская обл., г. Екатеринбург, ул. Маневровая, д. 40, оф. 5",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ГЛОБАЛ ФИНАНС""",Признаки нелегального кредитора,6682014928,"624192, Свердловская обл., г. Невьянск. К.Маркса, 18-48",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЗАЙМЫ ТУТ""",Признаки нелегального кредитора,5610228164,"460000, Оренбургская обл., г. Оренбург, ул. 8 Марта, д. 38",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ИМПЕРИАЛ""",Признаки нелегального кредитора,8602290502,"628403, Ханты-Мансийский автономный округ, г. Сургут, 50 лет ВЛКСМ ул., д. 5, кв. 89",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ТАВДАЗАЙМ""",Признаки нелегального кредитора,7224079867,"626022, Тюменская обл., Нижнетавдинский район, с. Нижняя Тавда, ул. Чкалова, д. 13",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЭФФЕКТИВ ФИНАНС""",Признаки нелегального кредитора,7404062541,"456940, Челябинская обл., Кусинский район, г. Куса, Ленинградская ул., д. 19, оф. 3",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЮУИНК""",Признаки нелегального кредитора,7453324630,"454091, Челябинская обл., г. Челябинск, ул. Кирова, д. 167, неж. Пом. 9, офис 4",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АРТУФАФИНАНС""",Признаки нелегального кредитора,0274942853,"450022, Республика Башкортостана, г. Уфа, ул. Менделеева, дом 149, офис 21",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АТР-ИНВЕСТФИНАНС ПК""",Признаки нелегального кредитора,5902053458,"614990, Пермский край, г. Пермь, ул. Луначарского, дом 62Б, офис 1",,01.02.2021
